Время (UTC);Инициатор;Событие;Код;Объект;Детали
2026-06-12T08:10:39.759928+00:00;Михаил;Сделан прогноз;prediction_set;0b9d43eb-f830-4f43-aa88-c1aaa48af122;"{""away"": 2, ""home"": 1, ""match"": ""Australia — Türkiye"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:10:35.072927+00:00;Михаил;Сделан прогноз;prediction_set;7b6b0112-c3af-49e2-b05a-f3ce0cf874d6;"{""away"": 1, ""home"": 1, ""match"": ""Haiti — Scotland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:02:33.128478+00:00;Chukanov;Сделан прогноз;prediction_set;a98de20d-b6d7-462f-ae3d-cabadad0aae2;"{""away"": 1, ""home"": 0, ""match"": ""Ivory Coast — Ecuador"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:01:56.650029+00:00;Chukanov;Сделан прогноз;prediction_set;299007b9-a306-4e18-b1fc-f7d067ecb585;"{""away"": 0, ""home"": 2, ""match"": ""Netherlands — Japan"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:01:46.824606+00:00;Chukanov;Сделан прогноз;prediction_set;8b2230d3-02a1-45b4-9400-c53d40d7ae15;"{""away"": 0, ""home"": 4, ""match"": ""Germany — Curaçao"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:01:31.258662+00:00;Chukanov;Сделан прогноз;prediction_set;0b9d43eb-f830-4f43-aa88-c1aaa48af122;"{""away"": 2, ""home"": 1, ""match"": ""Australia — Türkiye"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:01:12.989191+00:00;Chukanov;Сделан прогноз;prediction_set;7b6b0112-c3af-49e2-b05a-f3ce0cf874d6;"{""away"": 2, ""home"": 0, ""match"": ""Haiti — Scotland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:01:00.554140+00:00;Chukanov;Сделан прогноз;prediction_set;7b5944fe-c8f5-489d-b269-83436d0a6e5a;"{""away"": 0, ""home"": 1, ""match"": ""Brazil — Morocco"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:00:32.607186+00:00;Chukanov;Сделан прогноз;prediction_set;84643f75-2463-4a22-86df-f73d796b529a;"{""away"": 3, ""home"": 0, ""match"": ""Qatar — Switzerland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:00:28.481020+00:00;Chukanov;Сделан прогноз;prediction_set;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 0, ""home"": 1, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:00:18.028996+00:00;Chukanov;Изменён прогноз;prediction_updated;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 0, ""home"": 2, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 0, ""home"": 1}}"
2026-06-12T08:00:17.429134+00:00;Вениамин;Сделан прогноз;prediction_set;a98de20d-b6d7-462f-ae3d-cabadad0aae2;"{""away"": 0, ""home"": 2, ""match"": ""Ivory Coast — Ecuador"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T08:00:03.607350+00:00;Вениамин;Сделан прогноз;prediction_set;299007b9-a306-4e18-b1fc-f7d067ecb585;"{""away"": 2, ""home"": 1, ""match"": ""Netherlands — Japan"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:59:55.030883+00:00;Вениамин;Сделан прогноз;prediction_set;8b2230d3-02a1-45b4-9400-c53d40d7ae15;"{""away"": 0, ""home"": 4, ""match"": ""Germany — Curaçao"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:59:50.867033+00:00;Вениамин;Сделан прогноз;prediction_set;0b9d43eb-f830-4f43-aa88-c1aaa48af122;"{""away"": 2, ""home"": 1, ""match"": ""Australia — Türkiye"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:59:47.856333+00:00;Вениамин;Изменён прогноз;prediction_updated;7b6b0112-c3af-49e2-b05a-f3ce0cf874d6;"{""away"": 2, ""home"": 0, ""match"": ""Haiti — Scotland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 3, ""home"": 0}}"
2026-06-12T07:58:43.641491+00:00;Вениамин;Сделан прогноз;prediction_set;7b6b0112-c3af-49e2-b05a-f3ce0cf874d6;"{""away"": 3, ""home"": 0, ""match"": ""Haiti — Scotland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:58:24.029981+00:00;Вениамин;Изменён прогноз;prediction_updated;7b5944fe-c8f5-489d-b269-83436d0a6e5a;"{""away"": 0, ""home"": 1, ""match"": ""Brazil — Morocco"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 3}}"
2026-06-12T07:58:16.352779+00:00;Вениамин;Изменён прогноз;prediction_updated;84643f75-2463-4a22-86df-f73d796b529a;"{""away"": 3, ""home"": 0, ""match"": ""Qatar — Switzerland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 0}}"
2026-06-12T07:58:09.816907+00:00;Вениамин;Изменён прогноз;prediction_updated;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 0, ""home"": 1, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 2}}"
2026-06-12T07:50:48.055156+00:00;Вадим;Сделан прогноз;prediction_set;a98de20d-b6d7-462f-ae3d-cabadad0aae2;"{""away"": 0, ""home"": 1, ""match"": ""Ivory Coast — Ecuador"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:50:30.668507+00:00;Вадим;Сделан прогноз;prediction_set;299007b9-a306-4e18-b1fc-f7d067ecb585;"{""away"": 1, ""home"": 1, ""match"": ""Netherlands — Japan"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:50:20.597052+00:00;Вадим;Сделан прогноз;prediction_set;8b2230d3-02a1-45b4-9400-c53d40d7ae15;"{""away"": 0, ""home"": 4, ""match"": ""Germany — Curaçao"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:50:08.507499+00:00;Вадим;Сделан прогноз;prediction_set;0b9d43eb-f830-4f43-aa88-c1aaa48af122;"{""away"": 2, ""home"": 1, ""match"": ""Australia — Türkiye"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:49:52.708986+00:00;Вадим;Сделан прогноз;prediction_set;7b6b0112-c3af-49e2-b05a-f3ce0cf874d6;"{""away"": 0, ""home"": 0, ""match"": ""Haiti — Scotland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:49:13.237456+00:00;Вадим;Сделан прогноз;prediction_set;84643f75-2463-4a22-86df-f73d796b529a;"{""away"": 2, ""home"": 0, ""match"": ""Qatar — Switzerland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:48:54.252760+00:00;Вадим;Сделан прогноз;prediction_set;7b5944fe-c8f5-489d-b269-83436d0a6e5a;"{""away"": 1, ""home"": 2, ""match"": ""Brazil — Morocco"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:48:31.597504+00:00;Вадим;Сделан прогноз;prediction_set;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 0, ""home"": 1, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:48:06.016693+00:00;Вадим;Изменён прогноз;prediction_updated;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 1, ""home"": 0, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 2}}"
2026-06-12T07:43:29.171766+00:00;DEN48;Сделан прогноз;prediction_set;7b5944fe-c8f5-489d-b269-83436d0a6e5a;"{""away"": 1, ""home"": 3, ""match"": ""Brazil — Morocco"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:43:19.554634+00:00;DEN48;Сделан прогноз;prediction_set;84643f75-2463-4a22-86df-f73d796b529a;"{""away"": 4, ""home"": 0, ""match"": ""Qatar — Switzerland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T07:42:14.438552+00:00;DEN48;Сделан прогноз;prediction_set;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 2, ""home"": 2, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
